order_item_id,order_id,product_id,quantity,unit_price,discount_pct
OI00000783,O0000439,P0091,1,168.13,0.0
OI00000784,O0000439,P0055,1,339.48,0.15
OI00000811,O0000454,P0044,1,124.18,0.0
OI00000812,O0000455,P0058,1,147.22,0.0
OI00000813,O0000455,P0061,1,377.31,0.05
OI00000814,O0000455,P0133,1,9.93,0.0
OI00000815,O0000455,P0146,2,52.16,0.0
OI00000841,O0000468,P0006,1,2202.3,0.1
OI00000863,O0000481,P0168,1,62.89,0.0
OI00000864,O0000481,P0069,2,96.7,0.05
OI00000890,O0000501,P0082,2,368.71,0.0
OI00000891,O0000501,P0070,2,54.36,0.0
OI00000892,O0000501,P0132,2,28.44,0.0
OI00000901,O0000506,P0110,1,74.09,0.0
OI00000902,O0000506,P0165,2,40.3,0.0
OI00000903,O0000506,P0057,1,132.32,0.0
OI00000917,O0000513,P0017,1,1607.97,0.0
OI00000918,O0000513,P0062,1,56.36,0.0
OI00000919,O0000513,P0067,1,289.25,0.0
OI00000920,O0000514,P0159,1,181.9,0.15
OI00000921,O0000514,P0003,1,1245.63,0.05
OI00000923,O0000516,P0056,1,128.28,0.0
OI00000924,O0000516,P0169,1,185.91,0.0
OI00000947,O0000528,P0172,1,22.01,0.0
OI00000948,O0000529,P0018,1,1957.45,0.0
OI00000949,O0000529,P0005,1,1334.85,0.1
OI00000950,O0000529,P0106,1,129.52,0.0
OI00000981,O0000551,P0114,2,28.78,0.1
OI00000982,O0000551,P0112,1,39.42,0.0
OI00000983,O0000551,P0133,1,9.7,0.2
OI00000984,O0000552,P0107,1,156.93,0.0
OI00000989,O0000556,P0166,1,32.54,0.0
OI00000990,O0000556,P0074,1,253.12,0.1
OI00000993,O0000558,P0056,1,130.37,0.15
OI00000999,O0000562,P0045,1,418.59,0.05
OI00001009,O0000568,P0136,1,85.02,0.0
OI00001010,O0000568,P0152,1,15.1,0.05
OI00001016,O0000573,P0075,1,56.15,0.0
OI00001027,O0000580,P0165,1,41.28,0.2
OI00001032,O0000582,P0104,1,29.02,0.0
OI00001061,O0000599,P0018,1,1965.43,0.0
OI00001062,O0000599,P0124,1,62.75,0.1
OI00001070,O0000605,P0144,1,13.31,0.0
OI00001071,O0000605,P0171,1,37.75,0.05
OI00001072,O0000605,P0093,1,84.78,0.0
OI00001078,O0000610,P0005,1,1372.7,0.0
OI00001079,O0000610,P0045,1,416.01,0.0
OI00001080,O0000610,P0091,2,174.48,0.05
OI00001086,O0000613,P0148,1,14.86,0.0
OI00001087,O0000613,P0089,1,350.93,0.2
OI00001088,O0000613,P0145,1,162.06,0.0
OI00001098,O0000619,P0046,2,333.9,0.05
OI00001099,O0000619,P0145,1,163.41,0.05
OI00001119,O0000628,P0077,1,420.08,0.1
OI00001120,O0000628,P0009,1,1304.81,0.0
OI00001144,O0000642,P0180,1,51.22,0.2
OI00001159,O0000649,P0010,1,877.13,0.15
OI00001160,O0000649,P0058,2,147.62,0.05
OI00001178,O0000662,P0022,1,870.39,0.0
OI00001197,O0000671,P0025,1,428.92,0.0
OI00001226,O0000686,P0118,2,127.2,0.0
OI00001227,O0000687,P0175,1,11.87,0.0
OI00001235,O0000690,P0137,1,25.61,0.0
OI00001250,O0000701,P0038,2,481.77,0.0
OI00001251,O0000701,P0121,1,143.48,0.0
OI00001252,O0000701,P0012,1,1545.34,0.0
OI00001260,O0000707,P0131,1,48.64,0.0
OI00001262,O0000709,P0045,1,400.81,0.0
OI00001263,O0000709,P0090,2,204.91,0.0
OI00001270,O0000713,P0128,1,70.78,0.0
OI00001271,O0000714,P0089,1,357.34,0.0
OI00001272,O0000714,P0148,1,15.14,0.0
OI00001284,O0000720,P0032,1,861.49,0.0
OI00001303,O0000731,P0118,1,129.01,0.0
OI00001306,O0000734,P0041,1,233.43,0.0
OI00001307,O0000734,P0063,1,57.52,0.15
OI00001308,O0000734,P0136,1,84.61,0.0
OI00001309,O0000735,P0159,2,184.11,0.0
OI00001310,O0000735,P0066,1,271.79,0.0
OI00001346,O0000755,P0167,1,127.89,0.0
OI00001358,O0000760,P0162,1,19.52,0.0
OI00001364,O0000765,P0065,1,315.71,0.0
OI00001365,O0000765,P0078,2,131.27,0.0
OI00001366,O0000765,P0170,1,9.48,0.0
OI00001367,O0000765,P0054,1,56.78,0.0
OI00001406,O0000790,P0050,1,94.07,0.0
OI00001407,O0000790,P0048,1,54.15,0.0
OI00001408,O0000790,P0098,1,322.87,0.0
OI00001411,O0000792,P0131,1,50.24,0.0
OI00001413,O0000794,P0148,1,15.26,0.0
OI00001420,O0000798,P0039,1,538.15,0.05
OI00001425,O0000801,P0066,1,276.54,0.0
OI00001443,O0000811,P0139,1,24.38,0.0
OI00001453,O0000816,P0021,1,635.68,0.05
OI00001454,O0000816,P0126,1,186.43,0.0
OI00001520,O0000854,P0088,2,301.04,0.1
OI00001525,O0000858,P0133,1,10.22,0.0
OI00001555,O0000878,P0119,1,33.07,0.1
OI00001588,O0000896,P0145,1,156.68,0.0
OI00001589,O0000896,P0149,2,17.75,0.0
OI00001630,O0000917,P0025,1,418.44,0.15
OI00001631,O0000917,P0146,1,53.58,0.0
OI00001632,O0000917,P0071,2,113.61,0.0
OI00001637,O0000921,P0131,1,50.9,0.15
OI00001648,O0000927,P0022,2,851.8,0.0
OI00001649,O0000928,P0174,1,18.07,0.0
OI00001650,O0000928,P0088,1,293.92,0.1
OI00001651,O0000929,P0165,1,41.77,0.0
OI00001657,O0000933,P0019,1,389.85,0.0
OI00001687,O0000949,P0087,1,485.44,0.0
OI00001695,O0000954,P0164,1,38.92,0.0
OI00001696,O0000954,P0005,1,1365.84,0.0
OI00001738,O0000979,P0085,1,486.87,0.0
OI00001757,O0000990,P0144,1,13.8,0.0
OI00001758,O0000990,P0120,1,330.7,0.0
OI00001759,O0000990,P0153,1,43.46,0.0
OI00001766,O0000995,P0015,1,1423.29,0.0
OI00001767,O0000995,P0078,1,134.66,0.0
OI00001773,O0001000,P0116,2,67.17,0.0
OI00001774,O0001000,P0052,1,39.96,0.0
OI00001775,O0001000,P0064,1,133.52,0.1
OI00001779,O0001003,P0019,1,417.15,0.0
OI00001780,O0001003,P0104,1,30.2,0.05
OI00001791,O0001008,P0087,1,485.78,0.0
OI00001792,O0001008,P0116,1,68.25,0.0
OI00001793,O0001008,P0084,1,620.25,0.05
OI00001820,O0001022,P0174,1,18.1,0.05
OI00001845,O0001035,P0037,1,548.2,0.0
OI00001846,O0001035,P0133,1,10.05,0.2
OI00001855,O0001041,P0051,1,55.56,0.0
OI00001866,O0001045,P0142,1,12.7,0.0
OI00001878,O0001050,P0057,1,129.4,0.0
OI00001892,O0001058,P0109,1,169.1,0.0
OI00001893,O0001058,P0175,1,11.92,0.1
OI00001907,O0001068,P0073,1,98.37,0.0
OI00001914,O0001072,P0086,2,51.26,0.0
OI00001915,O0001072,P0057,1,134.65,0.0
OI00001916,O0001073,P0092,1,198.39,0.0
OI00001917,O0001074,P0017,2,1621.57,0.0
OI00001952,O0001092,P0097,1,140.14,0.1
OI00001961,O0001097,P0072,2,178.54,0.0
OI00001962,O0001097,P0078,1,135.66,0.1
OI00001964,O0001099,P0085,1,507.79,0.0
OI00001967,O0001101,P0072,1,177.86,0.0
OI00001968,O0001101,P0023,1,1018.71,0.0
OI00001969,O0001101,P0048,1,56.58,0.0
OI00001970,O0001101,P0151,1,19.51,0.0
OI00002027,O0001132,P0125,1,295.08,0.0
OI00002033,O0001137,P0090,1,206.67,0.1
OI00002034,O0001138,P0100,1,62.49,0.0
OI00002071,O0001159,P0126,1,187.59,0.0
OI00002075,O0001162,P0025,1,438.46,0.05
OI00002076,O0001162,P0034,1,540.96,0.0
OI00002087,O0001170,P0086,1,49.96,0.0
OI00002088,O0001170,P0114,1,30.17,0.0
OI00002089,O0001171,P0083,1,737.27,0.0
OI00002090,O0001172,P0105,2,134.93,0.0
OI00002091,O0001172,P0023,1,999.93,0.0
OI00002128,O0001189,P0047,1,139.77,0.0
OI00002129,O0001189,P0079,1,170.85,0.0
OI00002130,O0001189,P0028,1,1230.51,0.0
OI00002141,O0001194,P0045,2,411.36,0.0
OI00002142,O0001194,P0044,1,121.24,0.0
OI00002148,O0001198,P0054,1,57.69,0.05
OI00002152,O0001202,P0037,1,531.71,0.05
OI00002153,O0001202,P0152,1,15.15,0.0
OI00002154,O0001203,P0108,1,40.75,0.05
OI00002155,O0001203,P0028,1,1235.13,0.0
OI00002156,O0001203,P0062,1,57.34,0.0
OI00002167,O0001211,P0082,2,373.69,0.0
OI00002168,O0001211,P0130,1,29.86,0.0
OI00002176,O0001218,P0064,1,133.23,0.0
OI00002177,O0001218,P0044,1,121.56,0.0
OI00002178,O0001218,P0090,1,194.78,0.0
OI00002186,O0001223,P0054,1,58.23,0.0
OI00002205,O0001233,P0035,1,1062.78,0.0
OI00002217,O0001239,P0178,1,11.14,0.0
OI00002218,O0001240,P0030,1,860.36,0.1
OI00002239,O0001253,P0166,1,32.84,0.0
OI00002240,O0001253,P0001,1,1721.85,0.0
OI00002243,O0001255,P0180,2,53.47,0.0
OI00002244,O0001255,P0161,1,63.31,0.0
OI00002267,O0001271,P0075,1,55.24,0.0
OI00002276,O0001276,P0026,1,1117.28,0.0
OI00002277,O0001276,P0064,1,125.93,0.0
OI00002287,O0001284,P0042,1,119.66,0.1
OI00002302,O0001292,P0050,1,95.98,0.0
OI00002307,O0001296,P0157,2,121.17,0.0
OI00002314,O0001300,P0063,1,57.11,0.0
OI00002315,O0001300,P0068,1,143.33,0.15
OI00002321,O0001304,P0094,1,70.25,0.05
OI00002322,O0001304,P0075,1,53.94,0.0
OI00002323,O0001304,P0018,1,1970.86,0.0
OI00002364,O0001326,P0086,1,51.56,0.0
OI00002365,O0001326,P0134,1,131.29,0.1
OI00002373,O0001331,P0147,1,76.44,0.0
OI00002374,O0001331,P0011,1,1093.27,0.0
OI00002375,O0001331,P0095,1,278.61,0.0
OI00002402,O0001348,P0053,1,360.75,0.0
OI00002403,O0001348,P0124,1,65.19,0.0
OI00002412,O0001354,P0042,1,118.05,0.0
OI00002413,O0001354,P0048,1,56.48,0.0
OI00002426,O0001362,P0019,1,405.64,0.0
OI00002427,O0001362,P0060,1,132.81,0.25
OI00002470,O0001389,P0073,1,97.03,0.0
OI00002475,O0001393,P0145,1,165.37,0.0
OI00002478,O0001396,P0025,1,411.98,0.0
OI00002479,O0001396,P0086,1,50.37,0.15
OI00002511,O0001414,P0153,1,44.81,0.05
OI00002512,O0001415,P0072,1,178.23,0.2
OI00002523,O0001423,P0100,3,62.53,0.0
OI00002524,O0001423,P0057,1,132.91,0.0
OI00002564,O0001444,P0114,1,29.89,0.1
OI00002565,O0001444,P0073,1,95.91,0.1
OI00002566,O0001444,P0079,1,168.93,0.0
OI00002593,O0001462,P0067,1,276.84,0.0
OI00002598,O0001466,P0129,1,303.41,0.0
OI00002599,O0001466,P0069,1,97.1,0.0
OI00002610,O0001471,P0071,1,115.67,0.25
OI00002611,O0001471,P0105,1,132.25,0.15
OI00002612,O0001471,P0005,1,1352.9,0.0
OI00002615,O0001473,P0162,1,19.61,0.15
OI00002616,O0001473,P0105,1,130.88,0.0
OI00002617,O0001473,P0055,2,338.47,0.0
OI00002618,O0001473,P0129,1,299.65,0.05
OI00002630,O0001479,P0034,1,575.31,0.0
OI00002631,O0001479,P0074,1,259.77,0.0
OI00002642,O0001487,P0166,1,34.08,0.15
OI00002656,O0001495,P0014,1,834.5,0.0
OI00002660,O0001498,P0170,1,9.58,0.05
OI00002662,O0001500,P0027,1,917.36,0.2
OI00002664,O0001502,P0128,2,70.39,0.1
OI00002665,O0001502,P0042,1,119.6,0.0
OI00002685,O0001516,P0074,2,259.01,0.0
OI00002686,O0001516,P0153,1,46.18,0.0
OI00002687,O0001517,P0070,1,53.08,0.0
OI00002688,O0001517,P0104,1,29.87,0.0
OI00002704,O0001524,P0061,1,375.39,0.0
OI00002710,O0001528,P0011,1,1034.58,0.0
OI00002729,O0001540,P0015,1,1429.57,0.1
OI00002755,O0001556,P0154,1,57.14,0.0
OI00002770,O0001565,P0158,1,69.79,0.0
OI00002773,O0001567,P0114,1,29.61,0.1
OI00002793,O0001579,P0119,1,32.63,0.2
OI00002794,O0001579,P0153,1,43.34,0.1
OI00002798,O0001582,P0062,1,58.04,0.0
OI00002799,O0001582,P0153,3,44.35,0.0
OI00002800,O0001582,P0131,1,49.03,0.0
OI00002801,O0001582,P0124,1,65.23,0.1
OI00002805,O0001585,P0073,1,98.45,0.05
OI00002812,O0001590,P0099,1,233.85,0.0
OI00002813,O0001590,P0081,2,413.18,0.0
OI00002824,O0001596,P0160,2,23.74,0.0
OI00002828,O0001599,P0044,1,123.51,0.0
OI00002842,O0001607,P0177,1,23.02,0.15
OI00002843,O0001607,P0029,2,523.21,0.0
OI00002844,O0001607,P0094,1,70.7,0.0
OI00002854,O0001613,P0180,1,51.77,0.0
OI00002857,O0001616,P0099,1,237.22,0.0
OI00002858,O0001616,P0019,1,410.65,0.0
OI00002859,O0001616,P0103,1,86.35,0.0
OI00002862,O0001618,P0030,1,856.15,0.0
OI00002863,O0001619,P0118,1,130.0,0.0
OI00002869,O0001624,P0025,1,428.94,0.25
OI00002870,O0001624,P0058,2,147.16,0.0
OI00002875,O0001627,P0138,1,34.82,0.0
OI00002876,O0001627,P0167,1,129.52,0.0
OI00002897,O0001636,P0018,1,1985.57,0.15
OI00002903,O0001639,P0043,1,284.44,0.0
OI00002912,O0001645,P0077,1,419.35,0.0
OI00002913,O0001645,P0151,1,19.66,0.0
OI00002914,O0001645,P0078,1,135.56,0.0
OI00002931,O0001655,P0126,1,187.99,0.0
OI00002932,O0001655,P0024,1,510.99,0.0
OI00002955,O0001670,P0139,2,24.98,0.15
OI00002956,O0001671,P0052,1,39.87,0.0
OI00002963,O0001675,P0017,1,1590.54,0.0
OI00002971,O0001680,P0073,2,97.29,0.0
OI00002972,O0001680,P0018,1,2035.37,0.1
OI00002973,O0001680,P0023,1,1007.62,0.0
OI00002997,O0001695,P0027,1,891.92,0.1
OI00002998,O0001695,P0019,1,398.03,0.0
OI00002999,O0001695,P0074,1,253.95,0.2
OI00003021,O0001708,P0175,1,11.92,0.05
OI00003045,O0001723,P0034,1,540.72,0.0
OI00003046,O0001724,P0033,1,1381.35,0.0
OI00003047,O0001724,P0079,2,175.79,0.0
OI00003048,O0001724,P0146,1,53.9,0.15
OI00003050,O0001726,P0002,1,937.33,0.0
OI00003064,O0001734,P0168,1,62.69,0.0
OI00003065,O0001734,P0060,1,135.33,0.0
OI00003070,O0001738,P0040,1,974.73,0.1
OI00003071,O0001738,P0060,1,133.55,0.0
OI00003072,O0001738,P0136,1,83.77,0.1
OI00003073,O0001738,P0034,1,544.62,0.0
OI00003086,O0001745,P0168,1,63.7,0.1
OI00003087,O0001745,P0095,1,287.6,0.0
OI00003088,O0001746,P0017,1,1669.67,0.0
OI00003104,O0001754,P0043,1,305.2,0.15
OI00003124,O0001765,P0164,1,39.19,0.0
OI00003125,O0001765,P0105,1,129.95,0.05
OI00003126,O0001765,P0047,1,135.98,0.1
OI00003145,O0001778,P0133,1,9.72,0.0
OI00003156,O0001783,P0131,1,50.64,0.0
OI00003157,O0001783,P0155,2,51.1,0.0
OI00003164,O0001789,P0154,1,57.6,0.15
OI00003165,O0001789,P0156,1,88.51,0.1
OI00003185,O0001801,P0143,1,111.89,0.1
OI00003186,O0001801,P0135,1,182.61,0.0
OI00003197,O0001808,P0057,1,131.85,0.1
OI00003200,O0001810,P0138,1,34.22,0.15
OI00003201,O0001810,P0073,1,96.14,0.0
OI00003208,O0001813,P0047,1,136.07,0.05
OI00003210,O0001815,P0169,1,182.01,0.0
OI00003211,O0001815,P0097,1,139.94,0.15
OI00003212,O0001816,P0147,1,79.95,0.0
OI00003213,O0001816,P0130,1,30.49,0.0
OI00003215,O0001818,P0096,2,88.29,0.0
OI00003216,O0001818,P0085,1,476.75,0.25
OI00003246,O0001834,P0084,1,631.27,0.0
OI00003258,O0001843,P0006,1,2247.31,0.0
OI00003263,O0001846,P0067,1,276.13,0.0
OI00003270,O0001850,P0026,1,1176.0,0.1
OI00003271,O0001850,P0105,1,130.95,0.0
OI00003283,O0001858,P0160,1,23.64,0.0
OI00003293,O0001864,P0016,2,900.54,0.05
OI00003294,O0001864,P0041,1,224.04,0.0
OI00003316,O0001878,P0174,1,17.67,0.0
OI00003317,O0001878,P0140,1,15.79,0.0
OI00003337,O0001892,P0176,1,135.63,0.0
OI00003338,O0001893,P0025,1,442.25,0.0
OI00003339,O0001893,P0152,1,15.54,0.05
OI00003344,O0001898,P0026,1,1182.35,0.0
OI00003345,O0001898,P0075,1,54.4,0.0
OI00003346,O0001899,P0164,1,38.79,0.0
OI00003347,O0001899,P0007,1,1983.4,0.0
OI00003363,O0001910,P0091,1,168.06,0.2
OI00003377,O0001916,P0167,2,128.98,0.05
OI00003403,O0001933,P0115,1,67.53,0.1
OI00003404,O0001933,P0043,1,300.81,0.0
OI00003405,O0001933,P0142,1,12.57,0.0
OI00003407,O0001935,P0159,1,181.83,0.0
OI00003408,O0001935,P0005,1,1338.61,0.1
OI00003421,O0001944,P0095,1,284.26,0.15
OI00003448,O0001961,P0124,1,66.43,0.0
OI00003449,O0001961,P0041,1,233.7,0.2
OI00003454,O0001964,P0087,3,489.57,0.0
OI00003456,O0001966,P0029,1,533.05,0.0
OI00003457,O0001966,P0170,1,9.28,0.0
OI00003506,O0001996,P0081,3,407.58,0.0
OI00003507,O0001996,P0010,2,880.83,0.25
OI00003508,O0001996,P0123,1,49.9,0.0
OI00003509,O0001996,P0144,1,13.73,0.0
OI00003515,O0002000,P0152,1,15.03,0.15
OI00003540,O0002013,P0096,1,86.93,0.0
OI00003541,O0002013,P0064,1,131.58,0.0
OI00003550,O0002020,P0101,1,125.47,0.0
OI00003555,O0002024,P0113,1,99.46,0.15
OI00003556,O0002024,P0127,1,157.32,0.0
OI00003557,O0002024,P0150,1,11.35,0.0
OI00003565,O0002029,P0086,1,49.43,0.0
OI00003566,O0002029,P0023,1,991.57,0.05
OI00003567,O0002029,P0115,1,65.94,0.05
OI00003580,O0002035,P0111,1,287.65,0.0
OI00003596,O0002044,P0025,1,433.33,0.0
OI00003597,O0002044,P0164,1,40.46,0.15
OI00003629,O0002061,P0051,1,57.38,0.0
OI00003630,O0002061,P0127,1,164.96,0.0
OI00003640,O0002067,P0055,1,332.44,0.1
OI00003641,O0002068,P0002,1,956.01,0.0
OI00003642,O0002068,P0025,1,427.22,0.0
OI00003643,O0002068,P0139,1,23.98,0.2
OI00003644,O0002068,P0031,1,1320.62,0.05
OI00003657,O0002076,P0097,1,135.93,0.0
OI00003660,O0002078,P0068,1,141.24,0.05
OI00003671,O0002084,P0010,1,865.54,0.0
OI00003672,O0002084,P0015,3,1443.69,0.0
OI00003673,O0002085,P0086,1,50.23,0.0
OI00003674,O0002085,P0125,1,288.79,0.1
OI00003677,O0002087,P0160,1,23.91,0.0
OI00003678,O0002087,P0154,1,55.33,0.0
OI00003679,O0002087,P0173,1,44.27,0.0
OI00003684,O0002089,P0051,1,55.72,0.0
OI00003686,O0002091,P0009,3,1292.12,0.0
OI00003687,O0002091,P0058,1,145.22,0.0
OI00003701,O0002097,P0087,1,484.68,0.0
OI00003702,O0002097,P0098,2,329.6,0.0
OI00003703,O0002097,P0100,1,64.04,0.0
OI00003704,O0002097,P0178,2,11.22,0.0
OI00003705,O0002098,P0082,1,376.29,0.1
OI00003722,O0002107,P0129,1,296.17,0.1
OI00003723,O0002107,P0074,2,256.88,0.0
OI00003724,O0002107,P0116,2,68.47,0.0
OI00003740,O0002116,P0122,1,397.52,0.0
OI00003741,O0002116,P0087,1,482.83,0.0
OI00003742,O0002116,P0066,1,265.44,0.05
OI00003743,O0002116,P0106,1,133.37,0.0
OI00003771,O0002132,P0126,1,187.99,0.0
OI00003793,O0002147,P0044,1,125.56,0.0
OI00003797,O0002150,P0046,1,336.87,0.0
OI00003809,O0002159,P0053,1,359.7,0.05
OI00003810,O0002159,P0057,1,136.25,0.0
OI00003813,O0002161,P0062,1,57.29,0.2
OI00003835,O0002173,P0139,2,25.21,0.0
OI00003836,O0002174,P0013,1,1083.85,0.1
OI00003837,O0002174,P0161,1,63.41,0.0
OI00003838,O0002174,P0077,1,411.25,0.1
OI00003870,O0002195,P0151,2,20.09,0.0
OI00003878,O0002198,P0051,1,54.12,0.15
OI00003879,O0002198,P0144,1,14.01,0.0
OI00003881,O0002200,P0092,1,196.74,0.0
OI00003882,O0002200,P0053,1,346.97,0.05
OI00003900,O0002210,P0017,1,1629.24,0.0
OI00003901,O0002210,P0078,1,131.33,0.0
OI00003922,O0002222,P0067,1,279.77,0.1
OI00003942,O0002235,P0160,1,24.8,0.0
OI00003943,O0002235,P0066,2,277.96,0.05
OI00003944,O0002235,P0047,1,140.89,0.05
OI00003945,O0002235,P0119,1,32.98,0.0
OI00003955,O0002241,P0061,1,387.49,0.0
OI00003956,O0002242,P0010,1,861.76,0.0
OI00003957,O0002242,P0088,2,300.65,0.0
OI00003967,O0002249,P0090,2,203.12,0.05
OI00003968,O0002250,P0023,1,974.38,0.0
OI00003979,O0002256,P0176,1,135.22,0.0
OI00003980,O0002257,P0161,1,63.44,0.1
OI00003996,O0002266,P0034,1,544.08,0.0
OI00003997,O0002266,P0031,1,1334.86,0.0
OI00004001,O0002270,P0089,1,350.66,0.0
OI00004002,O0002270,P0095,1,280.19,0.0
OI00004006,O0002272,P0080,1,238.38,0.0
OI00004007,O0002272,P0148,1,14.65,0.05
OI00004014,O0002277,P0150,1,11.5,0.05
OI00004025,O0002285,P0113,1,97.98,0.0
OI00004026,O0002285,P0147,1,79.18,0.0
OI00004027,O0002286,P0013,1,1038.11,0.0
OI00004100,O0002331,P0124,1,65.0,0.0
OI00004101,O0002331,P0147,1,73.8,0.2
OI00004106,O0002333,P0084,1,627.06,0.0
OI00004107,O0002333,P0063,1,57.8,0.0
OI00004108,O0002333,P0089,2,356.26,0.0
OI00004115,O0002338,P0056,1,126.67,0.0
OI00004140,O0002355,P0076,1,119.95,0.0
OI00004141,O0002356,P0079,1,176.24,0.0
OI00004142,O0002356,P0098,1,320.21,0.0
OI00004143,O0002357,P0129,1,289.86,0.0
OI00004144,O0002358,P0071,1,114.0,0.0
OI00004145,O0002358,P0007,1,2034.71,0.0
OI00004147,O0002360,P0051,1,56.68,0.0
OI00004159,O0002368,P0151,1,20.11,0.0
OI00004160,O0002368,P0097,1,137.58,0.0
OI00004163,O0002370,P0046,1,327.49,0.1
OI00004164,O0002370,P0153,1,43.74,0.0
OI00004177,O0002376,P0061,1,377.94,0.0
OI00004178,O0002376,P0089,1,358.0,0.0
OI00004184,O0002379,P0058,1,148.39,0.0
OI00004185,O0002379,P0086,1,49.4,0.0
OI00004187,O0002381,P0037,1,546.46,0.1
OI00004188,O0002382,P0072,1,172.69,0.0
OI00004189,O0002383,P0042,1,116.47,0.0
OI00004196,O0002388,P0119,1,32.89,0.0
