order_id,customer_id,order_date,channel,store_id,order_status,payment_method,shipping_fee
O0000397,C024469,2023-01-08,Store,S007,Completed,Credit Card,0.0
O0000408,C029443,2023-01-08,Store,S001,Completed,Digital Wallet,0.0
O0000416,C010386,2023-01-08,Pickup,S011,Completed,Credit Card,0.0
O0000417,C004166,2023-01-08,Store,S001,Completed,Credit Card,0.0
O0000423,C013358,2023-01-08,Online,,Completed,Digital Wallet,24.29
O0000439,C028794,2023-01-09,Online,,Completed,Digital Wallet,4.01
O0000454,C002085,2023-01-09,Pickup,S014,Completed,Credit Card,0.0
O0000455,C011512,2023-01-09,Store,S009,Completed,Debit Card,0.0
O0000468,C012386,2023-01-09,Store,S004,Completed,Debit Card,0.0
O0000481,C011592,2023-01-10,Store,S003,Completed,Gift Card,0.0
O0000501,C027271,2023-01-10,Online,,Completed,Credit Card,13.18
O0000506,C015802,2023-01-10,Store,S005,Completed,Credit Card,0.0
O0000513,C010740,2023-01-10,Online,,Completed,Credit Card,3.12
O0000514,C016585,2023-01-10,Online,,Cancelled,Digital Wallet,8.51
O0000516,C020800,2023-01-10,Store,S005,Completed,Credit Card,0.0
O0000528,C000145,2023-01-10,Store,S001,Returned,Credit Card,0.0
O0000529,C007526,2023-01-10,Store,S003,Completed,Credit Card,0.0
O0000551,C029293,2023-01-11,Online,,Completed,Credit Card,11.75
O0000552,C002886,2023-01-11,Store,S005,Completed,Digital Wallet,0.0
O0000556,C021314,2023-01-11,Store,S004,Completed,Credit Card,0.0
O0000558,C026298,2023-01-11,Pickup,S003,Completed,Gift Card,0.0
O0000562,C023518,2023-01-11,Online,,Completed,Digital Wallet,2.84
O0000568,C017449,2023-01-11,Store,S016,Completed,Credit Card,0.0
O0000573,C027908,2023-01-11,Store,S007,Cancelled,Digital Wallet,0.0
O0000580,C010657,2023-01-12,Store,S016,Completed,Credit Card,0.0
O0000582,C003595,2023-01-12,Online,,Completed,Gift Card,3.15
O0000599,C013102,2023-01-12,Store,S004,Completed,Credit Card,0.0
O0000605,C005287,2023-01-12,Online,,Completed,Credit Card,10.06
O0000610,C015100,2023-01-12,Store,S006,Completed,Credit Card,0.0
O0000613,C028990,2023-01-12,Store,S005,Completed,Debit Card,0.0
O0000619,C027103,2023-01-12,Store,S016,Returned,Debit Card,0.0
O0000628,C024147,2023-01-12,Pickup,S006,Completed,Gift Card,0.0
O0000642,C004340,2023-01-13,Store,S001,Completed,Credit Card,0.0
O0000649,C000675,2023-01-13,Pickup,S005,Returned,Digital Wallet,0.0
O0000662,C006482,2023-01-13,Store,S007,Completed,Digital Wallet,0.0
O0000671,C009243,2023-01-13,Store,S001,Completed,Debit Card,0.0
O0000686,C013903,2023-01-13,Store,S008,Completed,Credit Card,0.0
O0000687,C011667,2023-01-13,Online,,Completed,Credit Card,9.53
O0000690,C009253,2023-01-13,Store,S003,Completed,Digital Wallet,0.0
O0000701,C021968,2023-01-14,Online,,Completed,Credit Card,1.86
O0000707,C014444,2023-01-14,Pickup,S009,Completed,Credit Card,0.0
O0000709,C027831,2023-01-14,Online,,Cancelled,Digital Wallet,3.47
O0000713,C029658,2023-01-14,Online,,Completed,Debit Card,10.56
O0000714,C027801,2023-01-14,Online,,Completed,Credit Card,13.99
O0000720,C006530,2023-01-14,Online,,Completed,Digital Wallet,2.7
O0000731,C012418,2023-01-14,Store,S014,Completed,Credit Card,0.0
O0000734,C027367,2023-01-14,Pickup,S009,Completed,Gift Card,0.0
O0000735,C004740,2023-01-14,Online,,Completed,Digital Wallet,15.98
O0000755,C013619,2023-01-14,Pickup,S007,Completed,Credit Card,0.0
O0000760,C014749,2023-01-14,Pickup,S015,Completed,Debit Card,0.0
O0000765,C021742,2023-01-14,Store,S007,Completed,Credit Card,0.0
O0000790,C000716,2023-01-15,Store,S005,Completed,Digital Wallet,0.0
O0000792,C029219,2023-01-15,Online,,Completed,Debit Card,2.23
O0000794,C001340,2023-01-15,Store,S010,Completed,Digital Wallet,0.0
O0000798,C025813,2023-01-15,Store,S008,Completed,Credit Card,0.0
O0000801,C007501,2023-01-15,Store,S010,Completed,Digital Wallet,0.0
O0000811,C011683,2023-01-15,Store,S001,Completed,Credit Card,0.0
O0000816,C001279,2023-01-16,Online,,Completed,Debit Card,12.08
O0000854,C016584,2023-01-16,Store,S004,Completed,Digital Wallet,0.0
O0000858,C029833,2023-01-16,Store,S005,Completed,Gift Card,0.0
O0000878,C011498,2023-01-17,Store,S006,Completed,Credit Card,0.0
O0000896,C028631,2023-01-17,Online,,Completed,Credit Card,11.51
O0000917,C020318,2023-01-17,Online,,Completed,Digital Wallet,7.03
O0000921,C020553,2023-01-17,Online,,Completed,Credit Card,3.56
O0000927,C025444,2023-01-18,Store,S013,Completed,Credit Card,0.0
O0000928,C027994,2023-01-18,Online,,Completed,Debit Card,4.03
O0000929,C021144,2023-01-18,Store,S016,Completed,Gift Card,0.0
O0000933,C006940,2023-01-18,Online,,Completed,Debit Card,9.49
O0000949,C001772,2023-01-18,Online,,Completed,Debit Card,7.9
O0000954,C023589,2023-01-18,Online,,Completed,Credit Card,7.25
O0000979,C012284,2023-01-19,Pickup,S014,Completed,Gift Card,0.0
O0000990,C007851,2023-01-19,Pickup,S015,Cancelled,Credit Card,0.0
O0000995,C007389,2023-01-19,Store,S014,Completed,Digital Wallet,0.0
O0001000,C016551,2023-01-19,Store,S002,Completed,Credit Card,0.0
O0001003,C022221,2023-01-19,Online,,Completed,Credit Card,5.17
O0001008,C009444,2023-01-19,Store,S001,Completed,Digital Wallet,0.0
O0001022,C022257,2023-01-19,Online,,Completed,Digital Wallet,5.97
O0001035,C023163,2023-01-20,Store,S003,Completed,Digital Wallet,0.0
O0001041,C027908,2023-01-20,Pickup,S007,Completed,Gift Card,0.0
O0001045,C000244,2023-01-20,Online,,Completed,Digital Wallet,4.56
O0001050,C023842,2023-01-20,Store,S014,Completed,Debit Card,0.0
O0001058,C026027,2023-01-20,Online,,Completed,Debit Card,1.49
O0001068,C003489,2023-01-20,Online,,Completed,Credit Card,11.78
O0001072,C017830,2023-01-20,Pickup,S009,Completed,Digital Wallet,0.0
O0001073,C027175,2023-01-20,Online,,Completed,Credit Card,4.34
O0001074,C005437,2023-01-20,Online,,Completed,Credit Card,4.27
O0001092,C022543,2023-01-21,Online,,Completed,Debit Card,1.82
O0001097,C021483,2023-01-21,Store,S004,Completed,Debit Card,0.0
O0001099,C008083,2023-01-21,Online,,Completed,Credit Card,3.06
O0001101,C018341,2023-01-21,Pickup,S012,Completed,Debit Card,0.0
O0001132,C000742,2023-01-21,Online,,Returned,Credit Card,3.11
O0001137,C015786,2023-01-21,Online,,Completed,Debit Card,3.49
O0001138,C003161,2023-01-21,Pickup,S010,Returned,Digital Wallet,0.0
O0001159,C001340,2023-01-22,Store,S009,Completed,Credit Card,0.0
O0001162,C020257,2023-01-22,Online,,Returned,Debit Card,6.03
O0001170,C004071,2023-01-22,Store,S008,Completed,Digital Wallet,0.0
O0001171,C025444,2023-01-22,Store,S016,Completed,Digital Wallet,0.0
O0001172,C022113,2023-01-22,Online,,Completed,Debit Card,4.56
O0001189,C029340,2023-01-22,Online,,Completed,Credit Card,21.41
O0001194,C027098,2023-01-22,Pickup,S009,Returned,Digital Wallet,0.0
O0001198,C010400,2023-01-22,Pickup,S007,Completed,Gift Card,0.0
O0001202,C019940,2023-01-22,Store,S010,Completed,Credit Card,0.0
O0001203,C010815,2023-01-22,Online,,Completed,Credit Card,7.14
O0001211,C011277,2023-01-22,Online,,Completed,Credit Card,14.45
O0001218,C005237,2023-01-23,Store,S004,Completed,Debit Card,0.0
O0001223,C003580,2023-01-23,Store,S004,Completed,Debit Card,0.0
O0001233,C000289,2023-01-23,Online,,Returned,Credit Card,10.69
O0001239,C022422,2023-01-23,Online,,Completed,Credit Card,8.03
O0001240,C000279,2023-01-23,Online,,Completed,Credit Card,6.53
O0001253,C026854,2023-01-23,Store,S015,Completed,Digital Wallet,0.0
O0001255,C018835,2023-01-23,Store,S015,Completed,Digital Wallet,0.0
O0001271,C019036,2023-01-24,Online,,Completed,Credit Card,6.74
O0001276,C022287,2023-01-24,Store,S008,Completed,Credit Card,0.0
O0001284,C003917,2023-01-24,Online,,Completed,Debit Card,4.22
O0001292,C019187,2023-01-24,Pickup,S006,Completed,Credit Card,0.0
O0001296,C023069,2023-01-24,Store,S007,Completed,Credit Card,0.0
O0001300,C014725,2023-01-24,Store,S008,Completed,Debit Card,0.0
O0001304,C021881,2023-01-24,Online,,Completed,Credit Card,9.93
O0001326,C016335,2023-01-25,Online,,Completed,Credit Card,8.95
O0001331,C002251,2023-01-25,Online,,Completed,Credit Card,2.29
O0001348,C004985,2023-01-25,Pickup,S001,Completed,Debit Card,0.0
O0001354,C014171,2023-01-25,Store,S004,Returned,Digital Wallet,0.0
O0001362,C029985,2023-01-25,Store,S016,Completed,Credit Card,0.0
O0001389,C021440,2023-01-25,Store,S009,Completed,Credit Card,0.0
O0001393,C027996,2023-01-25,Online,,Completed,Credit Card,6.27
O0001396,C003580,2023-01-25,Online,,Cancelled,Credit Card,10.66
O0001414,C002486,2023-01-26,Online,,Completed,Credit Card,2.14
O0001415,C006704,2023-01-26,Pickup,S007,Completed,Credit Card,0.0
O0001423,C003593,2023-01-26,Store,S007,Completed,Gift Card,0.0
O0001444,C025978,2023-01-26,Store,S001,Completed,Debit Card,0.0
O0001462,C016783,2023-01-26,Store,S005,Completed,Debit Card,0.0
O0001466,C027937,2023-01-26,Store,S013,Completed,Digital Wallet,0.0
O0001471,C027994,2023-01-26,Store,S016,Completed,Debit Card,0.0
O0001473,C010382,2023-01-26,Online,,Completed,Credit Card,6.32
O0001479,C016470,2023-01-27,Store,S005,Returned,Credit Card,0.0
O0001487,C013619,2023-01-27,Online,,Cancelled,Gift Card,8.32
O0001495,C028469,2023-01-27,Online,,Completed,Credit Card,0.45
O0001498,C019078,2023-01-27,Pickup,S005,Completed,Credit Card,0.0
O0001500,C010017,2023-01-27,Store,S005,Completed,Debit Card,0.0
O0001502,C021144,2023-01-27,Pickup,S014,Completed,Credit Card,0.0
O0001516,C028186,2023-01-27,Online,,Completed,Credit Card,23.82
O0001517,C001104,2023-01-27,Online,,Completed,Credit Card,11.4
O0001524,C019045,2023-01-27,Online,,Completed,Credit Card,1.54
O0001528,C012288,2023-01-27,Store,S009,Completed,Gift Card,0.0
O0001540,C005721,2023-01-28,Online,,Completed,Gift Card,13.08
O0001556,C015481,2023-01-28,Store,S008,Returned,Credit Card,0.0
O0001565,C021131,2023-01-28,Pickup,S008,Completed,Credit Card,0.0
O0001567,C007937,2023-01-28,Online,,Completed,Credit Card,14.16
O0001579,C010769,2023-01-28,Online,,Completed,Debit Card,11.82
O0001582,C022377,2023-01-28,Pickup,S014,Completed,Debit Card,0.0
O0001585,C015913,2023-01-28,Pickup,S010,Completed,Credit Card,0.0
O0001590,C015802,2023-01-28,Store,S007,Completed,Debit Card,0.0
O0001596,C015412,2023-01-29,Online,,Completed,Digital Wallet,6.07
O0001599,C018073,2023-01-29,Online,,Completed,Digital Wallet,1.03
O0001607,C012866,2023-01-29,Store,S013,Completed,Debit Card,0.0
O0001613,C025884,2023-01-29,Online,,Completed,Digital Wallet,9.6
O0001616,C022247,2023-01-29,Store,S012,Completed,Credit Card,0.0
O0001618,C004286,2023-01-29,Pickup,S009,Completed,Debit Card,0.0
O0001619,C008481,2023-01-29,Store,S001,Completed,Credit Card,0.0
O0001624,C008352,2023-01-29,Online,,Completed,Digital Wallet,2.32
O0001627,C014984,2023-01-29,Online,,Completed,Digital Wallet,2.22
O0001636,C018655,2023-01-29,Store,S012,Completed,Debit Card,0.0
O0001639,C027684,2023-01-29,Store,S015,Completed,Debit Card,0.0
O0001645,C001732,2023-01-29,Online,,Completed,Debit Card,3.65
O0001655,C012368,2023-01-30,Online,,Completed,Credit Card,1.44
O0001670,C004373,2023-01-30,Online,,Completed,Credit Card,1.33
O0001671,C012741,2023-01-30,Store,S010,Cancelled,Credit Card,0.0
O0001675,C003800,2023-01-30,Store,S015,Completed,Digital Wallet,0.0
O0001680,C024147,2023-01-30,Store,S006,Completed,Debit Card,0.0
O0001695,C023468,2023-01-30,Store,S004,Completed,Debit Card,0.0
O0001708,C004439,2023-01-31,Pickup,S016,Completed,Gift Card,0.0
O0001723,C020236,2023-01-31,Online,,Completed,Debit Card,2.63
O0001724,C012284,2023-01-31,Store,S013,Completed,Credit Card,0.0
O0001726,C012864,2023-01-31,Store,S012,Completed,Credit Card,0.0
O0001734,C011154,2023-01-31,Store,S006,Completed,Credit Card,0.0
O0001738,C021190,2023-01-31,Store,S004,Completed,Debit Card,0.0
O0001745,C027654,2023-01-31,Store,S012,Completed,Digital Wallet,0.0
O0001746,C019932,2023-01-31,Store,S012,Returned,Debit Card,0.0
O0001754,C021440,2023-01-31,Online,,Completed,Gift Card,5.61
O0001765,C022759,2023-02-01,Store,S003,Completed,Digital Wallet,0.0
O0001778,C001451,2023-02-01,Online,,Completed,Digital Wallet,8.14
O0001783,C027094,2023-02-01,Online,,Completed,Gift Card,1.62
O0001789,C011277,2023-02-01,Online,,CANCELLED,Digital Wallet,5.23
O0001801,C008355,2023-02-01,Store,S011,Completed,Credit Card,0.0
O0001808,C014728,2023-02-02,Online,,Completed,Credit Card,9.89
O0001810,C029753,2023-02-02,Online,,Completed,Credit Card,1.82
O0001813,C006758,2023-02-02,Online,,Completed,Credit Card,3.73
O0001815,C028217,2023-02-02,Online,,Completed,Debit Card,4.59
O0001816,C025088,2023-02-02,Online,,Completed,Debit Card,11.07
O0001818,C020384,2023-02-02,Online,,Completed,Credit Card,13.54
O0001834,C008630,2023-02-02,Online,,Completed,Debit Card,12.81
O0001843,C013345,2023-02-02,Store,S005,Completed,Credit Card,0.0
O0001846,C010183,2023-02-02,Pickup,S006,Completed,Digital Wallet,0.0
O0001850,C016240,2023-02-02,Store,S013,Cancelled,Credit Card,0.0
O0001858,C012102,2023-02-02,Online,,Completed,Credit Card,2.91
O0001864,C026274,2023-02-03,Online,,Completed,Digital Wallet,2.13
O0001878,C017796,2023-02-03,Online,,Completed,Credit Card,4.56
O0001892,C000881,2023-02-03,Store,S005,Completed,Debit Card,0.0
O0001893,C024576,2023-02-03,Online,,Completed,Credit Card,12.23
O0001898,C015786,2023-02-03,Online,,Returned,Credit Card,16.74
O0001899,C019417,2023-02-03,Store,S009,Completed,Credit Card,0.0
O0001910,C024149,2023-02-03,Online,,Completed,Credit Card,7.74
O0001916,C012478,2023-02-03,Store,S007,Completed,Credit Card,0.0
O0001933,C005624,2023-02-04,Store,S002,Returned,Credit Card,0.0
O0001935,C028510,2023-02-04,Online,,Completed,Debit Card,11.17
O0001944,C014728,2023-02-04,Pickup,S008,Completed,Credit Card,0.0
O0001961,C004814,2023-02-04,Store,S006,Completed,Credit Card,0.0
O0001964,C002919,2023-02-04,Online,,Completed,Debit Card,12.37
O0001966,C000665,2023-02-04,Store,S014,Completed,Digital Wallet,0.0
O0001996,C008980,2023-02-05,Online,,Completed,Digital Wallet,8.68
O0002000,C023578,2023-02-05,Online,,Completed,Credit Card,9.79
O0002013,C016271,2023-02-05,Store,S009,Completed,Digital Wallet,0.0
O0002020,C010227,2023-02-05,Store,S003,Completed,Digital Wallet,0.0
O0002024,C010095,2023-02-05,Online,,Completed,Credit Card,4.32
O0002029,C009195,2023-02-05,Online,,Completed,Digital Wallet,1.57
O0002035,C029603,2023-02-05,Store,S004,Completed,Debit Card,0.0
O0002044,C018040,2023-02-05,Online,,Completed,Gift Card,1.89
O0002061,C018841,2023-02-06,Online,,Completed,Debit Card,2.37
O0002067,C020071,2023-02-06,Online,,Completed,Digital Wallet,2.18
O0002068,C005611,2023-02-06,Store,S012,Completed,Credit Card,0.0
O0002076,C019010,2023-02-06,Online,,Completed,Credit Card,9.77
O0002078,C017715,2023-02-06,Store,S004,Completed,Credit Card,0.0
O0002084,C002347,2023-02-06,Store,S002,Completed,Digital Wallet,0.0
O0002085,C021267,2023-02-06,Pickup,S006,Completed,Credit Card,0.0
O0002087,C015343,2023-02-06,Store,S013,Completed,Credit Card,0.0
O0002089,C022422,2023-02-06,Pickup,S007,Completed,Credit Card,0.0
O0002091,C011548,2023-02-06,Store,S011,Completed,Debit Card,0.0
O0002097,C006940,2023-02-06,Online,,Completed,Debit Card,5.87
O0002098,C027176,2023-02-06,Pickup,S005,Completed,Digital Wallet,0.0
O0002107,C004990,2023-02-06,Online,,Completed,Credit Card,7.39
O0002116,C001216,2023-02-07,Store,S007,Completed,Credit Card,0.0
O0002132,C010014,2023-02-07,Store,S013,Completed,Debit Card,0.0
O0002147,C028676,2023-02-07,Online,,Completed,Credit Card,5.18
O0002150,C000145,2023-02-07,Online,,Completed,Credit Card,7.15
O0002159,C025254,2023-02-07,Store,S012,Completed,Digital Wallet,0.0
O0002161,C011683,2023-02-07,Pickup,S003,Completed,Credit Card,0.0
O0002173,C020318,2023-02-08,Store,S008,Completed,Credit Card,0.0
O0002174,C027254,2023-02-08,Online,,Completed,Debit Card,6.8
O0002195,C011623,2023-02-08,Pickup,S010,Completed,Credit Card,0.0
O0002198,C013572,2023-02-08,Online,,Returned,Credit Card,13.65
O0002200,C002541,2023-02-08,Store,S007,Completed,Credit Card,0.0
O0002210,C026120,2023-02-09,Store,S001,Completed,Credit Card,0.0
O0002222,C011294,2023-02-09,Online,,Completed,Credit Card,0.8
O0002235,C028990,2023-02-09,Store,S005,Completed,Credit Card,0.0
O0002241,C028100,2023-02-09,Online,,Completed,Credit Card,4.3
O0002242,C015462,2023-02-09,Pickup,S011,Cancelled,Digital Wallet,0.0
O0002249,C021451,2023-02-09,Online,,Completed,Credit Card,0.45
O0002250,C000665,2023-02-09,Pickup,S014,Completed,Digital Wallet,0.0
O0002256,C009483,2023-02-09,Store,S012,Completed,Digital Wallet,0.0
O0002257,C018888,2023-02-09,Online,,Completed,Credit Card,8.09
O0002266,C007938,2023-02-10,Store,S015,Completed,Credit Card,0.0
O0002270,C029742,2023-02-10,Online,,Completed,Debit Card,6.08
O0002272,C017557,2023-02-10,Online,,Cancelled,Gift Card,1.09
O0002277,C028100,2023-02-10,Online,,Completed,Debit Card,10.35
O0002285,C020028,2023-02-10,Store,S003,Completed,Credit Card,0.0
O0002286,C000867,2023-02-10,Online,,Completed,Credit Card,3.66
O0002331,C004743,2023-02-11,Online,,Completed,Credit Card,9.78
O0002333,C001347,2023-02-11,Online,,Completed,Digital Wallet,2.43
O0002338,C020200,2023-02-11,Online,,Cancelled,Debit Card,3.75
O0002355,C017336,2023-02-11,Pickup,S003, complete ,Credit Card,0.0
O0002356,C006129,2023-02-11,Pickup,S010,Completed,Credit Card,0.0
O0002357,C000402,2023-02-11,Online,,Completed,Credit Card,8.17
O0002358,C026681,2023-02-11,Online,,Completed,Credit Card,5.96
O0002360,C012682,2023-02-11,Store,S003,Completed,Digital Wallet,0.0
O0002368,C016967,2023-02-11,Pickup,S014,Completed,Digital Wallet,0.0
O0002370,C004904,2023-02-11,Online,,Completed,Credit Card,14.09
O0002376,C027254,2023-02-11,Online,,Completed,Credit Card,9.87
O0002379,C014951,2023-02-11,Store,S010,Completed,Credit Card,0.0
O0002381,C004570,2023-02-11,Store,S001,Completed,Gift Card,0.0
O0002382,C029613,2023-02-11,Online,,Completed,Digital Wallet,13.85
O0002383,C027295,2023-02-11,Online,,Completed,Credit Card,4.67
O0002388,C011629,2023-02-12,Online,,Completed,Gift Card,8.59
O0002390,C026681,2023-02-12,Store,S007,Completed,Credit Card,0.0
O0002392,C016791,2023-02-12,Store,S006,Completed,Digital Wallet,0.0
O0002397,C008675,2023-02-12,Store,S001,Completed,Credit Card,0.0
O0002403,C005546,2023-02-12,Online,,Completed,Debit Card,2.76
O0002408,C006621,2023-02-12,Online,,Completed,Digital Wallet,7.05
O0002411,C012591,2023-02-12,Online,,Completed,Credit Card,13.66
O0002418,C022368,2023-02-12,Store,S014,Completed,Credit Card,0.0
O0002421,C015949,2023-02-12,Online,,Completed,Debit Card,12.46
O0002436,C016116,2023-02-12,Store,S005,Completed,Credit Card,0.0
O0002437,C015002,2023-02-12,Pickup,S009,Completed,Digital Wallet,0.0
O0002444,C002384,2023-02-12,Store,S007,Completed,Credit Card,0.0
O0002448,C027449,2023-02-12,Store,S008,Completed,Credit Card,0.0
O0002451,C020800,2023-02-12,Store,S006,Completed,Debit Card,0.0
O0002455,C018364,2023-02-13,Store,S014,Completed,Credit Card,0.0
O0002459,C011624,2023-02-13,Online,,Cancelled,Credit Card,8.47
O0002463,C017042,2023-02-13,Store,S004,Returned,Debit Card,0.0
O0002464,C004703,2023-02-13,Pickup,S006,Completed,Credit Card,0.0
O0002471,C003474,2023-02-13,Store,S008,Completed,Debit Card,0.0
O0002476,C015228,2023-02-13,Store,S007,Completed,Credit Card,0.0
O0002483,C011353,2023-02-13,Store,S002,Completed,Gift Card,0.0
O0002486,C017285,2023-02-13,Store,S015,Completed,Digital Wallet,0.0
O0002492,C003475,2023-02-13,Store,S014,Completed,Credit Card,0.0
O0002499,C010039,2023-02-13,Store,S009,Completed,Credit Card,0.0
O0002505,C024449,2023-02-14,Store,S010,Completed,Credit Card,0.0
O0002518,C014330,2023-02-14,Store,S002,Completed,Debit Card,0.0
O0002529,C027295,2023-02-14,Pickup,S008,Completed,Debit Card,0.0
O0002530,C016416,2023-02-14,Store,S012,Completed,Credit Card,0.0
O0002532,C015786,2023-02-14,Online,,Completed,Digital Wallet,10.24
O0002534,C019272,2023-02-14,Store,S003,Completed,Digital Wallet,0.0
O0002548,C012386,2023-02-14,Store,S004,Completed,Credit Card,0.0
O0002561,C023664,2023-02-14,Store,S009,Completed,Credit Card,0.0
O0002577,C027098,2023-02-15,Store,S012,Completed,Credit Card,0.0
O0002580,C022086,2023-02-15,Online,,Cancelled,Debit Card,2.98
O0002581,C008940,2023-02-15,Store,S008,Completed,Debit Card,0.0
O0002610,C004990,2023-02-15,Store,S005,Completed,Debit Card,0.0
O0002611,C013819,2023-02-15,Online,,Completed,Digital Wallet,7.72
O0002614,C014171,2023-02-16,Store,S001,Completed,Credit Card,0.0
O0002616,C023049,2023-02-16,Online,,Returned,Credit Card,5.9
O0002625,C009607,2023-02-16,Online,,Completed,Digital Wallet,5.76
O0002635,C025425,2023-02-16,Pickup,S011,Completed,Debit Card,0.0
O0002636,C003659,2023-02-16,Online,,Completed,Debit Card,8.44
O0002646,C021467,2023-02-16,Store,S015,Completed,Credit Card,0.0
O0002647,C027069,2023-02-16,Store,S016,Completed,Credit Card,0.0
O0002651,C015343,2023-02-16,Store,S015,Completed,Debit Card,0.0
O0002674,C015981,2023-02-17,Pickup,S016,Completed,Debit Card,0.0
O0002684,C000937,2023-02-17,Store,S015,Completed,Credit Card,0.0
O0002708,C001699,2023-02-17,Pickup,S013,Completed,Credit Card,0.0
O0002725,C022257,2023-02-17,Online,,Completed,Digital Wallet,3.72
O0002729,C012408,2023-02-17,Online,,Completed,Credit Card,14.23
O0002730,C001938,2023-02-18,Store,S012,Completed,Credit Card,0.0
O0002731,C027271,2023-02-18,Pickup,S011,Completed,Credit Card,0.0
O0002743,C019807,2023-02-18,Store,S013,Completed,Credit Card,0.0
O0002746,C022687,2023-02-18,Pickup,S016,Completed,Credit Card,0.0
O0002747,C014619,2023-02-18,Pickup,S014,Completed,Credit Card,0.0
O0002756,C006903,2023-02-18,Online,,Completed,Credit Card,9.74
O0002770,C020127,2023-02-18,Store,S006,Completed,Credit Card,0.0
O0002771,C018702,2023-02-18,Pickup,S004,Completed,Credit Card,0.0
O0002772,C014338,2023-02-18,Store,S008,Completed,Credit Card,0.0
O0002777,C029344,2023-02-18,Pickup,S012,Completed,Credit Card,0.0
O0002781,C000874,2023-02-18,Store,S006,Completed,Credit Card,0.0
O0002783,C016486,2023-02-18,Online,,Cancelled,Debit Card,2.47
O0002793,C018304,2023-02-18,Pickup,S010,Completed,Digital Wallet,0.0
O0002800,C001488,2023-02-19,Pickup,S010,Completed,Credit Card,0.0
O0002805,C005502,2023-02-19,Store,S013,Completed,Gift Card,0.0
