product_id,product_name,category,brand,list_price,unit_cost,launch_date,base_return_rate
P0092,Luma Gaming 22,Gaming,Luma,195.77,129.27,2022-08-29,0.11
P0093,Northstar Gaming 23,Gaming,Northstar,85.24,57.0,2022-01-06,0.11
P0094,Aster Gaming 24,Gaming,Aster,73.31,46.58,2024-02-27,0.11
P0095,Kinetic Gaming 25,Gaming,Kinetic,285.66,173.52,2024-06-16,0.11
P0096,Kinetic Gaming 26,Gaming,Kinetic,86.54,55.45,2024-02-24,0.11
P0097,Aster Gaming 27,Gaming,Aster,139.79,84.78,2023-09-09,0.11
P0098,Flux Gaming 28,Gaming,Flux,319.2,186.69,2022-03-21,0.11
P0099,Cobalt Smart Home 01,Smart Home,Cobalt,234.15,111.36,2021-11-13,0.07
P0100,Aster Smart Home 02,Smart Home,Aster,61.8,32.33,2023-01-11,0.07
P0101,Aster Smart Home 03,Smart Home,Aster,126.71,59.66,2022-07-23,0.07
P0102,Flux Smart Home 04,Smart Home,Flux,51.7,25.31,2022-10-05,0.07
P0103,Kinetic Smart Home 05,Smart Home,Kinetic,84.53,43.22,2023-06-10,0.07
P0104,Northstar Smart Home 06,Smart Home,Northstar,29.6,13.92,2023-04-18,0.07
P0105,Aster Smart Home 07,Smart Home,Aster,130.89,64.46,2022-02-14,0.07
P0106,Cobalt Smart Home 08,Smart Home,Cobalt,129.96,58.69,2024-09-10,0.07
P0107,Cobalt Smart Home 09,Smart Home,Cobalt,154.83,76.01,2023-03-17,0.07
P0108,Cobalt Smart Home 10,Smart Home,Cobalt,41.48,20.93,2024-05-30,0.07
P0109,Aster Smart Home 11,Smart Home,Aster,168.96,73.94,2023-06-26,0.07
P0110,Bolt Smart Home 12,Smart Home,Bolt,73.9,37.2,2021-07-08,0.07
P0111,Flux Smart Home 13,Smart Home,Flux,287.59,133.08,2023-02-18,0.07
P0112,Flux Smart Home 14,Smart Home,Flux,39.93,18.24,2023-02-25,0.07
P0113,Northstar Smart Home 15,Smart Home,Northstar,100.17,51.44,2021-09-15,0.07
P0114,Luma Smart Home 16,Smart Home,Luma,29.32,13.2,2022-08-14,0.07
P0115,Cobalt Smart Home 17,Smart Home,Cobalt,68.04,31.48,2022-01-10,0.07
P0116,Northstar Smart Home 18,Smart Home,Northstar,69.51,33.82,2022-05-08,0.07
P0117,Luma Smart Home 19,Smart Home,Luma,30.62,15.38,2023-04-13,0.07
P0118,Cobalt Smart Home 20,Smart Home,Cobalt,127.92,58.88,2023-07-30,0.07
P0119,Cobalt Smart Home 21,Smart Home,Cobalt,32.84,15.27,2022-09-03,0.07
P0120,Kinetic Smart Home 22,Smart Home,Kinetic,333.27,150.41,2021-01-11,0.07
P0121,Kinetic Smart Home 23,Smart Home,Kinetic,145.09,64.2,2022-03-31,0.07
P0122,Northstar Smart Home 24,Smart Home,Northstar,387.44,199.79,2022-07-30,0.07
P0123,Cobalt Smart Home 25,Smart Home,Cobalt,49.38,26.6,2023-09-20,0.07
P0124,EchoPeak Smart Home 26,Smart Home,EchoPeak,65.1,33.79,2023-05-13,0.07
P0125,EchoPeak Smart Home 27,Smart Home,EchoPeak,293.42,143.18,2024-04-16,0.07
P0126,Aster Smart Home 28,Smart Home,Aster,187.17,91.59,2021-10-11,0.07
P0127,Luma Smart Home 29,Smart Home,Luma,162.56,87.63,2023-01-31,0.07
P0128,Luma Smart Home 30,Smart Home,Luma,70.39,34.39,2023-03-07,0.07
P0129,Kinetic Smart Home 31,Smart Home,Kinetic,300.89,144.51,2024-02-18,0.07
P0130,EchoPeak Smart Home 32,Smart Home,EchoPeak,30.17,16.24,2022-07-16,0.07
P0131,Bolt Accessorie 01,Accessories,Bolt,49.78,20.24,2023-01-05,0.06
P0132,Bolt Accessorie 02,Accessories,Bolt,29.11,9.35,2023-05-18,0.06
P0133,EchoPeak Accessorie 03,Accessories,EchoPeak,9.99,3.48,2022-03-06,0.06
P0134,Cobalt Accessorie 04,Accessories,Cobalt,132.12,50.24,2021-01-19,0.06
P0135,Flux Accessorie 05,Accessories,Flux,183.67,65.48,2021-01-29,0.06
P0136,Aster Accessorie 06,Accessories,Aster,84.84,27.59,2022-08-19,0.06
P0137,Cobalt Accessorie 07,Accessories,Cobalt,26.04,9.1,2022-10-03,0.06
P0138,EchoPeak Accessorie 08,Accessories,EchoPeak,35.16,11.44,2023-01-10,0.06
P0139,Kinetic Accessorie 09,Accessories,Kinetic,24.45,8.71,2023-02-13,0.06
P0140,Cobalt Accessorie 10,Accessories,Cobalt,15.66,5.22,2022-05-05,0.06
P0141,Flux Accessorie 11,Accessories,Flux,23.69,8.4,2022-12-06,0.06
P0142,Aster Accessorie 12,Accessories,Aster,12.56,4.8,2022-09-04,0.06
P0143,Aster Accessorie 13,Accessories,Aster,111.97,41.52,2024-12-22,0.06
P0144,Luma Accessorie 14,Accessories,Luma,13.72,4.12,2021-07-10,0.06
P0145,Flux Accessorie 15,Accessories,Flux,164.19,49.13,2021-12-20,0.06
P0146,EchoPeak Accessorie 16,Accessories,EchoPeak,52.71,22.17,2023-03-13,0.06
P0147,Flux Accessorie 17,Accessories,Flux,77.12,32.02,2021-06-10,0.06
P0148,Northstar Accessorie 18,Accessories,Northstar,15.0,5.01,2024-12-02,0.06
P0149,Kinetic Accessorie 19,Accessories,Kinetic,18.08,6.76,2023-02-22,0.06
P0150,Aster Accessorie 20,Accessories,Aster,11.41,3.57,2023-12-02,0.06
P0151,EchoPeak Accessorie 21,Accessories,EchoPeak,19.48,5.86,2023-03-10,0.06
P0152,Bolt Accessorie 22,Accessories,Bolt,15.02,3.85,2023-10-15,0.06
P0153,EchoPeak Accessorie 23,Accessories,EchoPeak,43.85,12.24,2024-05-07,0.06
P0154,Northstar Accessorie 24,Accessories,Northstar,56.82,20.33,2024-09-25,0.06
P0155,Luma Accessorie 25,Accessories,Luma,50.41,16.27,2023-09-17,0.06
P0156,Flux Accessorie 26,Accessories,Flux,88.92,29.09,2022-10-17,0.06
P0157,Kinetic Accessorie 27,Accessories,Kinetic,120.21,38.12,2023-06-04,0.06
P0158,Aster Accessorie 28,Accessories,Aster,67.21,22.49,2022-01-01,0.06
P0159,Luma Accessorie 29,Accessories,Luma,179.18,60.36,2024-02-18,0.06
P0160,Luma Accessorie 30,Accessories,Luma,24.19,9.46,2023-01-10,0.06
P0161,Luma Accessorie 31,Accessories,Luma,62.96,20.85,2021-01-05,0.06
P0162,Aster Accessorie 32,Accessories,Aster,19.32,6.78,2023-09-15,0.06
P0163,Kinetic Accessorie 33,Accessories,Kinetic,18.17,5.38,2024-11-28,0.06
P0164,Cobalt Accessorie 34,Accessories,Cobalt,39.27,15.05,2022-01-14,0.06
P0165,EchoPeak Accessorie 35,Accessories,EchoPeak,40.56,15.59,2022-01-11,0.06
P0166,Bolt Accessorie 36,Accessories,Bolt,33.15,13.1,2022-08-24,0.06
P0167,Northstar Accessorie 37,Accessories,Northstar,126.55,40.3,2023-04-20,0.06
P0168,Bolt Accessorie 38,Accessories,Bolt,62.39,18.27,2023-09-19,0.06
P0169,EchoPeak Accessorie 39,Accessories,EchoPeak,184.55,65.34,2024-07-11,0.06
P0170,Cobalt Accessorie 40,Accessories,Cobalt,9.41,3.24,2024-05-12,0.06
P0171,Luma Accessorie 41,Accessories,Luma,38.07,12.83,2024-06-03,0.06
P0172,Northstar Accessorie 42,Accessories,Northstar,22.09,6.74,2024-05-05,0.06
P0173,Cobalt Accessorie 43,Accessories,Cobalt,45.06,17.77,2022-01-17,0.06
P0174,EchoPeak Accessorie 44,Accessories,EchoPeak,18.31,6.23,2022-03-24,0.06
P0175,Northstar Accessorie 45,Accessories,Northstar,11.92,3.68,2022-07-03,0.06
P0176,EchoPeak Accessorie 46,Accessories,EchoPeak,137.03,53.91,2024-11-29,0.06
P0177,Northstar Accessorie 47,Accessories,Northstar,22.94,5.47,2024-12-23,0.06
P0178,Luma Accessorie 48,Accessories,Luma,11.1,3.69,2024-01-02,0.06
P0179,EchoPeak Accessorie 49,Accessories,EchoPeak,82.15,23.96,2021-09-29,0.06
P0180,Kinetic Accessorie 50,Accessories,Kinetic,52.06,16.45,2024-11-14,0.06
